         419821 function calls (408413 primitive calls) in 0.469 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      103    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        1    0.000    0.000    0.001    0.001 _function_base_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2766(MaskedArray)
      228    0.000    0.000    0.001    0.000 docscrape.py:92(read_to_next_unindented_line)
        1    0.000    0.000    0.005    0.005 _dtype_like.py:1(<module>)
       97    0.000    0.000    0.001    0.000 typing.py:664(__init__)
       46    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       30    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
   368/69    0.000    0.000    0.001    0.000 abc.py:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 datetimelike.py:198(DatetimeLikeArrayMixin)
        1    0.000    0.000    0.009    0.009 _json.py:1(<module>)
       58    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.009    0.009 series.py:1(<module>)
        2    0.000    0.000    0.004    0.002 datetimelike.py:1(<module>)
      198    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
        1    0.000    0.000    0.000    0.000 ipc.py:1(<module>)
      198    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      767    0.000    0.000    0.000    0.000 typing.py:219(<listcomp>)
        3    0.000    0.000    0.000    0.000 timedeltas.py:1(<module>)
        1    0.000    0.000    0.000    0.000 period.py:121(PeriodArray)
      472    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
       20    0.000    0.000    0.000    0.000 mixins.py:18(_binary_method)
      819    0.000    0.000    0.000    0.000 inspect.py:2684(default)
       45    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:464(inner)
      217    0.000    0.000    0.000    0.000 docscrape.py:162(__setitem__)
        1    0.000    0.000    0.000    0.000 range.py:66(RangeIndex)
      265    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
       39    0.000    0.000    0.000    0.000 getlimits.py:112(_float_to_str)
        1    0.000    0.000    0.001    0.001 groupby.py:1225(GroupBy)
        1    0.000    0.000    0.000    0.000 generic.py:1329(DataFrameGroupBy)
       53    0.000    0.000    0.000    0.000 util.py:58(decorator)
      514    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        2    0.000    0.000    0.015    0.007 format.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _linalg.py:1(<module>)
       19    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
      270    0.000    0.000    0.000    0.000 _decorators.py:343(doc)
        3    0.000    0.000    0.004    0.001 ops.py:1(<module>)
      231    0.000    0.000    0.000    0.000 inspect.py:632(_is_wrapper)
        1    0.000    0.000    0.000    0.000 calendar.py:150(Calendar)
      333    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 tempfile.py:638(SpooledTemporaryFile)
        1    0.000    0.000    0.001    0.001 _add_newdocs.py:1(<module>)
        7    0.000    0.000    0.000    0.000 config.py:856(is_instance_factory)
        1    0.000    0.000    0.000    0.000 tarfile.py:715(TarInfo)
        8    0.000    0.000    0.001    0.000 typing.py:2337(__new__)
        1    0.000    0.000    0.002    0.002 groupby.py:1(<module>)
       13    0.000    0.000    0.002    0.000 typing.py:2266(__new__)
       52    0.000    0.000    0.000    0.000 accessor.py:129(_forbid_nonstring_types)
      426    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      336    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
      336    0.000    0.000    0.000    0.000 typing.py:1277(__eq__)
      161    0.000    0.000    0.014    0.000 re.py:249(compile)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
       15    0.000    0.000    0.000    0.000 common.py:1606(pandas_dtype)
       12    0.000    0.000    0.000    0.000 typing.py:1548(__init_subclass__)
       56    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
